MANUFACTURER,PARTNUM,QTY,REFS,IPN,VALUE,DESCRIPTION,FOOTPRINT,ALTERNATES
Aries,40-6554-10,1,U1,TBD,8051,,Package_DIP:DIP-40_W15.24mm_ZIF_Socket_Aries_40-6554-10,
CK,1101M2S3CQE2,1,S1,TBD,CK_1101M2S3CQE2,"SPDT slide switch, ON-ON",Button_Switch_THT:SW_CK_1101M2S3CQE2,
CUI,PJ-050AH,1,J2,TBD,CUI_PJ-050AH,"DC Barrel Jack,  5.5mm OD x 2.1mm ID, through hole, w/ switch",Connector_BarrelJack:BarrelJack_Horizontal_CUI_PJ-050AH,
Copal,S-2150,1,S4,TBD,Copal_S-2150,"Rotary switch, 4-position DIP 1P4T",Button_Switch_THT:Copal_S-2150,
ECS,ECS-2200BX-110.5,1,X1,TBD,11.0592 MHz,"Crystal Clock Oscillator, DIP8-style metal package",Oscillator:Oscillator_DIP-8,
Keystone,5000,1,TP1,TBD,TestPoint_Mini_Red,"Test point, 19x19mm 0.75x0.75in",TestPoint:TestPoint_Keystone_5000,
Keystone,5001,1,TP2,TBD,TestPoint_Mini_Black,"Test point, 19x19mm 0.75x0.75in",TestPoint:TestPoint_Keystone_5001,
Kingbright,WP7113GD,1,D1,TBD,WP7113GD,Light emitting diode,LED_THT:LED_D5.0mm_Green_Kingbright_WP7113,
Microchip,AT28C256-15PU,1,U3,TBD,AT28C256-15PU,,Package_DIP:DIP-28_W15.24mm_Socket,
NKK,UB15SKG035C-CC,1,S2,TBD,NKK_UB15SKG035C-CC,"Momentary button, SPDT, red LED, square red lens",Button_Switch_THT:SW_NKK_UB15SKG035C-CC,
NKK,UB15SKG035F-FF,1,S3,TBD,NKK_UB15SKG035F-FF,"Momentary button, SPDT, green LED, square green lens",Button_Switch_THT:SW_NKK_UB15SKG035F-FF,
ON Semiconductor,2N3906TF,3,Q1 Q2 Q3,TBD,2N3906,"PNP transistor, TO-92, 2N3906",Package_TO_SOT_THT:TO-92_Inline_Wide,
Stackpole,RNF14FTD10K0,10,R1 R2 R3 R4 R5 R8 R10 R11 R12 R13,TBD,10k,Resistor,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
Stackpole,RNF14FTD332R,4,R6 R7 R9 R14,TBD,332,Resistor,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
Sullins,PBC06SAAN,1,J1,TBD,TTL-232R-5V,Header for FTDI TTL-232R or equivalent,Connector_PinHeader_2.54mm:PinHeader_1x6_P2.54mm_Vertical_Unshrouded,
TDK,FG24X7R1A106KRT06,2,C5 C6,TBD,10uF,Unpolarized capacitor,Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm,
TI,SN74LS373N,1,U2,TBD,SN74LS373N,"8-bit Latch, 3-state outputs",Package_DIP:DIP-20_W7.62mm,
Vishay,K104K10X7RF5UL2,4,C1 C2 C3 C4,TBD,0.1uF,Unpolarized capacitor,Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm,
